Freebase Code,Name,Description,Detailed Description
/m/0150zs,Arab Americans,Ethnicity,Arab Americans are Americans of Arab ancestry. Arab Americans trace ancestry to any of the various waves of immigrants from the Arab world. 
/m/0278pqj,British Nigerians,Ethnic group,"British Nigerians have formed long-established communities in London, Liverpool and other industrial cities. Many Nigerians and their British-born descendants in Britain live in South London, and they are one of the larger immigrant groups in the country."
/m/0747611,Not found,Not found,Not found
/m/0c2hxm,Colombian Americans,Ethnicity,"Colombian Americans, are Americans who have Colombian ancestry. The word may refer to someone born in the United States of full or partial Colombian descent or to someone who has immigrated to the United States from Colombia. "
/m/0462jl6,Pathani,Ethnic group,"The Pathani/Paatni are an ethnic group of the Attigoan and Kamsyar region of Gangolihat tehsil Pithoragarh district of the Kumaon Himalayas of the Indian state of Uttarakhand.
"
/m/074w_m,Tulu people,Ethno-linguistic group,The Tulu people or Tuluvas are an ethno-linguistic and ethno-cultural group from Southern India. They are native speakers of the Tulu language and the region they traditionally inhabit is known as Tulu Nadu. 
/m/04ggbzy,White Africans of European ancestry,People,"White Africans of European ancestry refers to citizens or residents in Africa who can trace full or partial ancestry to Europe. They are distinguished from indigenous North African people who are sometimes identified as white but not European. In 1989, there were an estimated 4.6 million white people with European ancestry on the African continent.
"
/m/0hbz9xw,Not found,Not found,Not found
/m/0152s7,Anglo-Irish people,People,"Anglo-Irish people denotes an ethnic, social and religious grouping who are mostly the descendants and successors of the English Protestant Ascendancy in Ireland. "
/m/0fng3k,Jat Sikh,People,"Jat Sikh or Jatt Sikh is an ethnoreligious group, a subgroup of the Jat people whose traditional religion is Sikhism, originating from the Indian subcontinent. "
/m/0j4w_,Croats,Ethnic group,"The Croats are a South Slavic ethnic group native to Croatia, Bosnia and Herzegovina and other neighboring countries in Central and Southeastern Europe who share a common Croatian ancestry, culture, history and language. "
/m/0b98sy,Not found,Not found,Not found
/m/08v2k7,Italian Australians,People,"Italian Australians are Australian-born citizens who are fully or partially of Italian descent, whose ancestors were Italians who emigrated to Australia during the Italian diaspora, or Italian-born people in Australia.
"
/m/0j6x8,Not found,Not found,Not found
/m/0d9q7j,Gaud Saraswat Brahmin,N/A,"Gaud Saraswat Brahmins, also known as Shenvis are a Hindu community of contested caste status and identity. They primarily speak Konkani and its various dialects as their mother tongue.
"
/m/016f5d,Blackfoot Confederacy,N/A,"The Blackfoot Confederacy, Niitsitapi, or Siksikaitsitapi, is a historic collective name for linguistically related groups that make up the Blackfoot or Blackfeet people: the Siksika, the Kainai or Blood, and two sections of the Peigan or Piikani – the Northern Piikani and the Southern Piikani. "
/m/0ffj5g,Austrian Americans,Ethnicity,"Austrian Americans are Americans of Austrian descent, chiefly German-speaking Catholics and Jews. According to the 2000 U.S. census, there were 735,128 Americans of full or partial Austrian descent, accounting for 0.3% of the population. "
/m/0338zd,Malaysian Chinese,Ethnicity,"Malaysian Chinese, Chinese Malaysians, or Sino-Malaysians are Malaysian citizens of Han Chinese ethnicity. They form the second-largest ethnic group in Malaysia, after the Malay majority, and constitute 22.4% of the Malaysian total population. "
/m/04_tz7,Slovene Americans,Ethnic group,Slovene Americans or Slovenian Americans are Americans of full or partial Slovene or Slovenian ancestry. Slovenes mostly immigrated to America during the Slovene mass emigration period from the 1880s to World War I.
/m/027lf0d,Hindkowans,N/A,"Hindkowans, also known as the Hindki, is a contemporary designation for speakers of Indo-Aryan languages who live among the neighbouring Pashtuns, particularly the speakers of various Hindko dialects of Western Punjabi. "
/m/0ch3pqf,Belgians,People,"Belgians are people identified with the Kingdom of Belgium, a federal state in Western Europe. As Belgium is a multinational state, this connection may be residential, legal, historical, or cultural rather than ethnic. "
/m/06fczy,Black Irish,N/A,"The term ""Black Irish"" was initially used in the 19th and 20th centuries by Irish Americans to describe people of Irish descent who have black or dark-colored hair, blue or dark eyes, or otherwise dark coloring. "
/m/01mw1s,Chinese Canadians,People,"Chinese Canadians are Canadians of full or partial Han Chinese ancestry, which includes both naturalized Chinese immigrants and Canadian-born Chinese. They comprise a subgroup of East Asian Canadians which is a further subgroup of Asian Canadians. "
/m/04608z,Afro–Trinidadians and Tobagonians,People,"Afro-Trinidadians and Tobagonians are people from Trinidad and Tobago who are of Sub-Saharan African descent, mostly from West Africa. Social interpretations of race in Trinidad and Tobago are often used to dictate who is of West African descent. "
/m/04_hr_,Chinese Singaporeans,Ethnic group,"Chinese Singaporeans are Singaporeans of Han Chinese ancestry. Chinese Singaporeans constitute 75.9% of the Singaporean resident population according to the official census, making them the largest ethnic group in Singapore.
"
/m/026cybk,Serbian Canadians,Ethnicity,"The community of Serbian Canadians includes Canadian citizens of Serb ethnicity, or people born in Serbia who permanently reside in Canada. Serbs have migrated to Canada in various waves during the 20th century. Today there are five or more generations of Serbs in the country. The 2021 census recorded 93,360 people in Canada declaring themselves as ""Serbian"". Serbian Canadians generally belong to the Serbian Orthodox Church and follow the Eastern Orthodox tradition."
/m/01hwt,Black people,People,"Black is a racialized classification of people, usually a political and skin color-based category for specific populations with a mid- to dark brown complexion. "
/m/08gzsf,Konkani people,Ethnolinguistic group,The Konkani people are an Indo-Aryan ethnolinguistic group native to the Konkan region of the Indian subcontinent. They speak various dialects of the Konkani language. 
/m/05vhv7,Not found,Not found,Not found
/m/04_bc8,Not found,Not found,Not found
/m/06rd7,Sámi peoples,People,"The Sámi are the traditionally Sámi-speaking Indigenous peoples inhabiting the region of Sápmi, which today encompasses large northern parts of Norway, Sweden, Finland, and of the Kola Peninsula in Russia. "
/m/0318mh,Finns,Ethnic group,"Finns or Finnish people are a Baltic Finnic ethnic group native to Finland. Finns are traditionally divided into smaller regional groups that span several countries adjacent to Finland, both those who are native to these countries as well as those who have resettled. "
/m/02wcbj_,Bolivian Americans,People,"Bolivian Americans or Bolivia-Americans are Americans of at least partial Bolivian descent.
Bolivian Americans are usually those of Indigenous, Mestizo, or Spanish background but also occasionally having African, German, Croatian, Lebanese and/or Japanese heritage.
"
/m/0520604,Mangaloreans,Ethnic group,"Mangaloreans are a collection of diverse ethnic groups that hail from the historical locales of South Canara on the south western coast of Karnataka, India, particularly the residents native to Mangaluru."
/m/07j80c,Samoan Americans,People,"Samoan Americans are Americans of Samoan origin, including those who emigrated from the United States Territory of American Samoa and immigrants from the Independent State of Samoa to the United States. "
/m/078ds,Sinhalese people,Ethno-linguistic group,"The Sinhalese people, also known as the Sinhalese or Sinhala people are an Indo-Aryan ethno-linguistic group native to the island of Sri Lanka. "
/m/0fk1z,Hispanic,N/A,N/A
/m/0dv5vw,Pacific Islander Americans,Ethnicity,N/A
/m/04znbg,African-American Jews,People,"African-American Jews are people who are both African American and Jewish, whether by mixed ancestry or conversion. African-American Jews may be either Jewish from birth or converts to Judaism. "
/m/01sq7s,Mohawk people,People,"The Mohawk, also known by their own name, Kanien'kehà:ka, are an Indigenous people of North America and the easternmost nation of the Haudenosaunee, or Iroquois Confederacy.
"
/m/0gf5k1,Italians in the United Kingdom,People,"Italians in the United Kingdom, also known as Italian Brits are citizens and/or residents of the United Kingdom who are fully or partially of Italian descent, whose ancestors were Italians who emigrated to the United Kingdom during the Italian diaspora. "
/m/03pqwy,Finnish Americans,People,"Finnish Americans comprise Americans with ancestral roots in Finland, or Finnish people who immigrated to and reside in the United States. The Finnish-American population is around 650,000. "
/m/031_sd,Rajput,People,"Rajput, also called Thakur, is a large multi-component cluster of castes, kin bodies, and local groups, sharing social status and ideology of genealogical descent originating from the northern part of the Indian subcontinent. "
/m/012f86,Ukrainians,Ethnic group,"Ukrainians are an East Slavic ethnic group native to Ukraine. Their native tongue is Ukrainian, and the majority adhere to the Eastern Orthodox Church. By total population, the Ukrainians form the second-largest Slavic ethnic group after the Russians.
"
/m/092h2qt,Not found,Not found,Not found
/m/033qxt,Mizrahi Jews,People,"Mizrahi Jews, also known as in plural Mizrahim and in singular Mizrahi, and alternatively referred to as Oriental Jews or Edot HaMizrach, are terms used in Israeli discourse to refer to a grouping of Jewish communities that lived in the Muslim world.
"
/m/03vghh,Portuguese people,Ethnic group,"The Portuguese people is a Romance-speaking ethnic group and nation indigenous to Portugal, a country that occupies the west side of the Iberian Peninsula in south-west Europe, who share culture, ancestry and language.
"
/m/0bjbszh,Not found,Not found,Not found
/m/07hyjp,Irish Australians,Ethnic group,"Irish Australians are ‌‍‍‍‍residents of Australia who are fully or partially of Irish descent. Irish immigrants and descendants have been a prominent presence in the Australian populace since the First Fleet's arrival in New South Wales in 1788.
"
/m/03yk6g,Afro-Cubans,Race,"Afro-Cubans or Black Cubans are Cubans of full or partial sub-Saharan African ancestry. The term Afro-Cuban can also refer to historical or cultural elements in Cuba associated with this community, and the combining of native African and other cultural elements found in Cuban society, such as race, religion, music, language, the arts and class culture."
/m/0h1nk0k,Not found,Not found,Not found
/m/04zjjt,Not found,Not found,Not found
/m/02czfr,Black Canadians,Race,"Black Canadians, also known as African Canadians or Afro-Canadians, are Canadians of full or partial sub-Saharan African descent. "
/m/05qb937,Venezuelans,People,"Venezuelans are the citizens identified with the country of Venezuela. This connection may be through citizenship, descent or cultural. "
/m/047l_90,Not found,Not found,Not found
/m/0bnzjx,Criollo people,People,"In Hispanic America, criollo is a term used originally to describe people of full Spanish descent born in the viceroyalties. In different Latin American countries, the word has come to have different meanings, mostly referring to the local-born majority. "
/m/02q206y,Iranians in the United Kingdom,People,"Iranians in the United Kingdom consist of people of Iranian nationality who have settled in the United Kingdom, as well as British residents and citizens of Iranian heritage. "
/m/0665pp,Rohilla,Ethnic group,"Rohillas are a community of Pashtun heritage, historically found in Rohilkhand, a region in the state of Uttar Pradesh, India. It forms the largest Pashtun diaspora community in India, and has given its name to the Rohilkhand region. "
/m/07gzw5,Kapampangan people,Ethnolinguistic group,"The Kapampangan people, Pampangueños or Pampangos, are the sixth largest ethnolinguistic group in the Philippines, numbering about 2,784,526 in 2010. "
/m/062_25,Not found,Not found,Not found
/m/0hj35,Xhosa people,Ethnic group,"The Xhosa people, or Xhosa-speaking people are a Bantu ethnic group native to South Africa. They are the second largest ethnic group in South Africa and are native speakers of the isiXhosa language.
"
/m/0bh91q8,Guyanese Americans,People,"Guyanese Americans are American people with Guyanese ancestry or immigrants who were born in Guyana. Guyana is home to people of many different national, ethnic and religious origins. "
/m/01g0y_,Ojibwe,People,"The Ojibwe are an Anishinaabe people whose homeland covers much of the Great Lakes region and the northern plains, extending into the subarctic and throughout the northeastern woodlands. "
/m/07lv5x,Bahamian Americans,Ethnic group,"Bahamian Americans are an ethnic group of Caribbean Americans of Bahamian ancestry. There are an estimated 56,797 people of Bahamian ancestry living in the US as of 2019."
/m/0g4pffv,Russian Canadians,People,"Russian Canadians comprise Canadian citizens of Russian heritage or Russians who immigrated to and reside in Canada. According to the 2021 Census, there were 548,140 Canadians who claimed full or partial Russian ancestry. "
/m/0828vj,Telugu Brahmin,N/A,Telugu Brahmins are Telugu-speaking Brahmin communities native to the Indian states of Andhra Pradesh and Telangana. They fall under the Pancha Dravida Brahmin classification of the Brahmin community in India. 
/m/07d_p8,Catalans,Ethnic group,"Catalans are a Romance ethnic group native to Catalonia, who speak Catalan. The current official category of ""Catalans"" is that of the citizens of Catalonia, a nationality and autonomous community in Spain and the inhabitants of the Roussillon historical region in southern France, today the Pyrénées Orientales department, also called Northern Catalonia and Pays Catalan in French.
"
/m/04lhn7b,South African Americans,People,"South African Americans are Americans who have full or partial ancestry from South Africa. As of 2021, there were approximately 123,461 people born in South Africa who were living in the United States. "
/m/0fq6zlv,Not found,Not found,Not found
/m/0268pvf,Not found,Not found,Not found
/m/0466nw8,Lebanese people,People,The Lebanese people are the people inhabiting or originating from Lebanon. The term may also include those who had inhabited Mount Lebanon and the Anti-Lebanon Mountains prior to the creation of the modern Lebanese state. 
/m/04pnf,Latino,Ethnicity,"The masculine term Latino, along with its feminine form Latina, is a noun and adjective, often used in English, Spanish, and Portuguese, that most commonly refers to United States inhabitants who have cultural ties to Latin America.
"
/m/02p_gby,Rusyn Americans,Ethnicity,"Rusyn Americans are citizens of the United States of America, with ancestors who were Rusyns, from Carpathian Ruthenia, or neighboring areas of Central Europe. "
/m/06k6sl,Swedish Canadians,People,"Swedish Canadians are Canadian citizens of Swedish ancestry or Swedes who emigrated to and reside in Canada. The Swedish Canadian community in Canada numbered 349,640 in the 2016 population census. "
/m/0738n4,Hmong Americans,People,Hmong Americans are Americans of Hmong ancestry. Many Hmong Americans immigrated to the United States as refugees in the late 1970s. 
/m/0266mf0,Not found,Not found,Not found
/m/0cx3p,Not found,Not found,Not found
/m/04kbvpz,Not found,Not found,Not found
/m/07s9g04,Latin American migration to the United Kingdom,N/A,"Latin American migration to the United Kingdom dates back to the early 19th century. Before the 1970s, when political and civil unrest became rife in many Latin American countries, the United Kingdom's Latin American community was not particularly large. "
/m/04l_pt,Thai Chinese,People,"Thai Chinese are Chinese descendants in Thailand. Thai Chinese are the largest minority group in the country and the largest overseas Chinese community in the world with a population of approximately 7–10 million people, accounting for 11–14 percent of the total population of the country as of 2012. "
/m/026c9dq,Not found,Not found,Not found
/m/01ylpf,Latvians,Ethnic group,"Latvians are a Baltic ethnic group and nation native to Latvia and the immediate geographical region, the Baltics. They are occasionally also referred to as Letts, especially in older bibliography. "
/m/0g5k7qv,Not found,Not found,Not found
/m/01tyl3,Vietnamese Americans,Ethnic group,"Vietnamese Americans are Americans of Vietnamese ancestry. They comprise a major part of all overseas Vietnamese. There are approximately 2.3 million people of Vietnamese descent residing in the U.S. as of 2023.
"
/m/0b__fv3,Tamil Americans,People,Tamil Americans are Americans who are of Tamil origin. The majority of Tamil Americans come from the Indian state of Tamil Nadu. 
/m/02vkd28,Haitian Americans,People,Haitian Americans are a group of Americans of full or partial Haitian origin or descent. The largest proportion of Haitians in the United States live in Little Haiti to the South Florida area. 
/m/013s41,Bulgarians,Ethnic group,"Bulgarians are a nation and South Slavic ethnic group native to Bulgaria and its neighbouring region, who share a common Bulgarian ancestry, culture, history and language. "
/m/047948f,Scottish Australians,People,"Scottish Australians are ‌‍‍‍‍residents of Australia who are fully or partially of Scottish descent.
According to the 2021 Australian census, 130,060 Australian residents were born in Scotland, while 2,176,777 claimed Scottish ancestry, either alone or in combination with another ancestry."
/m/067lwk,Croatian Canadians,N/A,"Croatian Canadians are Canadian citizens who are of Croatian descent. The community exists in major cities including the Greater Toronto Area, Hamilton, Ottawa, Vancouver, Victoria, Calgary, Edmonton, Winnipeg, Windsor, Montreal and Waterloo Region.
"
/m/03d19xz,Canadians in the United Kingdom,People,"Canadians in the United Kingdom, or Canadian Britons, are people from Canada living in the United Kingdom and their descendants. In 2001 some 72,518 people born in Canada were living in the UK according to the UK census. Of the ten census tracts with the highest Canadian-born populations, nine were in London, with the other being Cambridge West. The Office for National Statistics estimates that, in 2009, 82,000 Canadian-born people were living in the UK. "
/m/02gx2x,Javanese people,Ethnic group,"The Javanese are an Austronesian ethnic group native to the central and eastern part of the Indonesian island of Java. With more than 100 million people, Javanese people are the largest ethnic group in both Indonesia and in Southeast Asia as a whole. "
/m/021pd,Choctaw,People,"The Choctaw are a Native American people originally based in the Southeastern Woodlands, in what is now Mississippi and Alabama. The Choctaw language is a Western Muskogean language. "
/m/013s2p,Bosniaks,Ethnic group,"The Bosniaks are a South Slavic ethnic group native to the Southeast European historical region of Bosnia, which is today part of Bosnia and Herzegovina, who share a common Bosnian ancestry, culture, history and language. "
/m/09fqz7,Croatian Australians,People,"Croatian Australians are Australian citizens of Croatian ancestry. Croatia has been a source of migrants to Australia, particularly in the 1960s and 1970s."
/m/0ffhvl,Turkish Americans,Ethnicity,"Turkish Americans or American Turks are Americans of ethnic Turkish origin. The term ""Turkish Americans"" can therefore refer to ethnic Turkish immigrants to the United States, as well as their American-born descendants, who originate either from the Ottoman Empire or from post-Ottoman modern nation-states. "
/m/075dhf0,Not found,Not found,Not found
/m/02dd5z,Acehnese people,Ethnic group,"The Acehnese, also written as Atjehnese and Achinese, are an indigenous ethnic group native to Aceh, Indonesia on the northernmost tip of the island of Sumatra. The area has a history of political struggle against the Dutch colonial rule. The vast majority of Acehnese people are Muslims. "
/m/03wbmrc,Ghanaian Americans,Ethnic group,Ghanaian Americans are an ethnic group of Americans of full or partial Ghanaian ancestry or Ghanaian immigrants who became naturalized citizen of the United States.
/m/0br_8h,Galicians,Ethnic group,"Galicians are a Romance-speaking European ethnic group from northwestern Spain; they are closely related to the northern Portuguese people and have their historic homeland in Galicia, in the north-west of the Iberian Peninsula. "
/m/097nms,Black British people,Ethnic group,"Black British people are a multi-ethnic group of British people of Sub-Saharan African or Afro-Caribbean descent. The term Black British developed in the 1950s, referring to the Black British West Indian people from the former Caribbean British colonies in the West Indies, sometimes referred to as the Windrush Generation, and Black British people descending from Africa.
"
/m/02cm28,English Canadians,Ethnicity,"English Canadians, or Anglo-Canadians, refers to either Canadians of English ethnic origin and heritage or to English-speaking or Anglophone Canadians of any ethnic origin; it is used primarily in contrast with French Canadians. "
/m/0h6mqq9,Not found,Not found,Not found
/m/09tqq8q,Ghanaians,People,"The Ghanaian people are a nation originating in the Ghanaian Gold Coast. Ghanaians predominantly inhabit the Republic of Ghana and are the predominant cultural group and residents of Ghana, numbering 34 million people as of 2024, making up 85% of the population. "
/m/0301y_,Yoruba people,Ethnic group,"The Yoruba people are a West African ethnic group who mainly inhabit parts of Nigeria, Benin, and Togo. The areas of these countries primarily inhabited by the Yoruba are often collectively referred to as Yorubaland. "
/m/0d8qh0,Indonesian Americans,People,"Indonesian Americans are migrants from the multiethnic country of Indonesia to the United States, and their U.S.-born descendants. "
/m/03h1dq9,Indians in France,People,"Indo-French people or Indians in France are expatriate residents from India in France, as well as people of Indian national origin. "
/m/03fk0c,Icelanders,Ethnic group,"Icelanders are an ethnic group and nation who are native to the island country of Iceland. They speak Icelandic, a North Germanic language.
Icelanders established the country of Iceland in mid 930 CE when the Alþingi met for the first time. "
/m/026kx7g,Colombians,People,"Colombians are people identified with the country of Colombia. This connection may be residential, legal, historical or cultural. For most Colombians, several of these connections exist and are collectively the source of their being Colombian.
"
/m/04k02l,Not found,Not found,Not found
/m/051wcch,Bulgarian Canadians,People,"Bulgarian Canadians are Canadian citizens or residents from Bulgaria or people of Bulgarian descent. According to the 2021 Census there were 33,085 Canadians who claimed Bulgarian ancestry, an increase compared to the 27,260 of the 2006 Census."
/m/026zlyd,Not found,Not found,Not found
/m/01n94b,Slovaks,Ethnic group,"The Slovaks are a West Slavic ethnic group and nation native to Slovakia who share a common ancestry, culture, history and speak the Slovak language.
In Slovakia, c. 4.4 million are ethnic Slovaks of 5.4 million total population. "
/m/04dzwby,French Chileans,People,"French Chileans are Chilean citizens of full or partial French ancestry. Between 1840 and 1940, 20,000 to 25,000 French people immigrated to Chile. "
/m/0btrm4,Armenian Americans,People,Armenian Americans are citizens or residents of the United States who have total or partial Armenian ancestry. They form the second largest community of the Armenian diaspora after Armenians in Russia. 
/m/03ndvw,Vietnamese people,People,"The Vietnamese people or the Kinh people, also recognized as the Viet people or the Viets, are a Southeast Asian ethnic group native to modern-day Northern Vietnam and Southern China who speak Vietnamese, the most widely spoken Austroasiatic language.
"
/m/0fxmtg,Honduran Americans,People,"Honduran Americans are Americans of full or partial Honduran descent. Hondurans are the eighth largest Hispanic group in the United States and the third largest Central American population, after Salvadorans and Guatemalans. "
/m/04sfz4s,Not found,Not found,Not found
/m/03cnzsg,Welsh Italians,People,"Welsh Italians are Welsh who are fully or partially of Italian descent, whose ancestors were Italians who emigrated to Wales during the Italian diaspora, or Italian-born people in Wales. "
/m/03r_k,Inuit,People,"Inuit are a group of culturally and historically similar Indigenous peoples traditionally inhabiting the Arctic and subarctic regions of North America, including Greenland, Labrador, Quebec, Nunavut, the Northwest Territories, Yukon, Alaska, and Chukotsky District of Chukotka Autonomous Okrug, Russia. "
/m/03f3sf,Romanian Americans,Ethnicity,"Romanian Americans are Americans who have Romanian ancestry. According to the 2017 American Community Survey, 478,278 Americans indicated Romanian as their first or second ancestry, however other sources provide higher estimates, which are most likely more accurate, for the numbers of Romanian Americans in the contemporary United States; for example, the Romanian-American Network supplies a rough estimate of 1.2 million who are fully or partially of Romanian ethnicity. "
/m/04lfc70,Armenians in Italy,Ethnicity,"Armenians in Italy covers the Armenians who live in Italy. There are currently 2,500-3,500 Armenians in Italy mainly residing in Milan, Rome and Venice; another main centre of Armenian culture and history is Padua.
"
/m/02vkw95,Ecuadorian Americans,Ethnicity,Ecuadorian Americans are Americans of full or partial Ecuadorian ancestry. Ecuadorian Americans are the 9th largest Latin American group in the United States.
/m/09y7x4,Filipino Australians,People,Filipino Australians are Australians of Filipino ancestry. Filipino Australians are one of the largest groups within the global Filipino diaspora. 
/m/0fk3s,Sioux,Tribe,"The Sioux or Oceti Sakowin are groups of Native American tribes and First Nations people from the Great Plains of North America. The Sioux have two major linguistic divisions: the Dakota and Lakota peoples. Collectively, they are the Očhéthi Šakówiŋ, or ""Seven Council Fires"". "
/m/0h8mzsl,Not found,Not found,Not found
/m/02p444n,Cubans,People,Cubans are the citizens and nationals of Cuba. The Cuban people have varied origins with the most spoken language being Spanish. 
/m/03kbr,Hindus,Adherents,N/A
/m/0bns36b,Not found,Not found,Not found
/m/0bbcnlt,Not found,Not found,Not found
/m/046j25,Lumbee,People,"The Lumbee are a Native American community primarily centered in Robeson, Hoke, Cumberland, and Scotland counties in North Carolina. "
/m/0dq1q,Cree,People,"The Cree or nehinaw are a North American Indigenous people. They live primarily in Canada, where they form one of the country's largest First Nations. More than 350,000 Canadians are Cree or have Cree ancestry. "
/m/02rdfpy,Salvadoran Americans,N/A,"Salvadoran Americans are Americans of full or partial Salvadoran descent. As of 2021, there are 2,473,947 Salvadoran Americans in the United States, the third-largest Hispanic community by nation of ancestry. "
/m/05c60ml,Chileans,Ethnic group,"Chileans are an ethnic group and nation native to the country of Chile and its neighboring insular territories. Most Chileans share a common culture, history, ancestry and language. "
/m/0470lk,Bosnians,People,"Bosnians are people native to the country of Bosnia and Herzegovina, especially the region of Bosnia. As a common demonym, the term Bosnians refers to all inhabitants/citizens of the country, regardless of any ethnic, cultural or religious affiliation. "
/m/02p7gyv,Brazilian Americans,Ethnicity,"Brazilian Americans are Americans who are of full or partial Brazilian ancestry. The Brazilian Ministry of Foreign Affairs estimates the Brazilian American population to be 1,905,000, the largest of any Brazilian diaspora. "
/m/0c29q8,Not found,Not found,Not found
/m/03ck8x1,Not found,Not found,Not found
/m/042199j,Spaniards in Mexico,People,Spanish Mexicans are citizens or residents of Mexico who identify as Spanish as a result of nationality or recent ancestry. Spanish immigration to Mexico began in the early 1500s and spans to the present day. 
/m/0bms44,Louisiana Creole people,Ethnic group,Louisiana Creoles are a Louisiana French ethnic group descended from the inhabitants of colonial Louisiana before it became a part of the United States during the period of both French and Spanish rule. 
/m/01nft3,Assyrian people,Ethnic group,"Assyrians are an indigenous ethnic group native to Mesopotamia, a geographical region in West Asia. Modern Assyrians descend directly from the ancient Assyrians, one of the key civilizations of Mesopotamia. "
/m/01d7kx,Swedish-speaking population of Finland,People,"The Swedish-speaking population of Finland is a linguistic minority in Finland. They maintain a strong identity and are seen either as a separate cultural, ethnic or linguistic group or, occasionally, a distinct nationality. "
/m/01c034,Lao people,Ethnic group,"The Lao people are a Tai ethnic group native to Southeast Asia. They primarily speak the Lao language, which belongs to the Kra–Dai language family. "
/m/05cc9h,Somali people,Ethnic group,"The Somali people are a Cushitic ethnic group native to the Horn of Africa who share a common ancestry, culture and history. The East Cushitic Somali language is the shared mother tongue of ethnic Somalis, which is part of the Cushitic branch of the Afroasiatic language family, and they are predominantly Sunni Muslim. "
/m/03cl2pz,Serbs in the United Kingdom,People,British Serbs or Serbs in the United Kingdom are Serbs and people of Serbian ancestry in the United Kingdom.
/m/03x_lpj,Sudanese Arabs,People,"Sudanese Arabs are the inhabitants of Sudan who identify as Arabs and speak Arabic as their mother tongue. Some of them are descendants of Arabs who migrated to Sudan from the Arabian Peninsula, although the rest have been described as Arabized indigenous peoples of Sudan of mostly Nubian, Nilo-Saharan, and Cushitic ancestry who are culturally and linguistically Arab, with varying cases of admixture from Peninsular Arabs. "
/m/02rp50t,Dutch Australians,People,"Dutch Australians refers to Australians of Dutch ancestry. They form one of the largest groups of the Dutch diaspora outside Europe. At the 2021 census, 381,946 people nominated Dutch ancestry, representing 1.5% of the Australian population. At the 2021 census, there were 66,481 Australian residents who were born in the Netherlands."
/m/03m3p6w,Not found,Not found,Not found
/m/02r_qms,Brazilians,People,Brazilians are the citizens of Brazil. A Brazilian can also be a person born abroad to a Brazilian parent or legal guardian as well as a person who acquired Brazilian citizenship. 
/m/086wp0,Ilocano people,Ethnolinguistic group,"The Ilocanos, also referred to as Ilokano or Iloko, are an Austronesian ethnic group and the third-largest ethnolinguistic group in the Philippines. "
/m/065z7w_,Moroccan Americans,People,"Moroccan Americans are Americans citizens who are of Moroccan descent, either fully or partially. It is also applied to Americans who hold dual citizenship in America and Morocco."
/m/01f9bg,Iñupiat,People,The Inupiat are a group of Alaska Natives whose traditional territory roughly spans northeast from Norton Sound on the Bering Sea to the northernmost part of the Canada–United States border. 
/m/03sx6v,Not found,Not found,Not found
/m/034s7b,Anglo-Indian people,Race,"Anglo-Indian people are a distinct minority community of mixed-race British and Indian ancestry. During the colonial period, their ancestry was defined as British paternal and Indian maternal heritage; post-independence, ""Anglo-Indian"" has also encompassed other European and Indian ancestries. "
/m/0987ctr,Not found,Not found,Not found
/m/03gy1h2,Panamanian Americans,Ethnicity,"Panamanian Americans are Americans of Panamanian descent.
The Panamanian population at the 2010 Census was 165,456.
The largest populations of Panamanians in the United States reside in Brooklyn and South Florida.
"
/m/0c_lbq,Armenians in Russia,Ethnicity,"Armenians in Russia or Russian Armenians are one of the country's largest ethnic minorities and the largest Armenian diaspora community outside Armenia. The 2010 Russian census recorded 1,182,388 Armenians in the country. "
/m/03ftx7,Not found,Not found,Not found
/m/067lv3,Dutch Canadians,People,"Dutch Canadians are Canadians with full or partial Dutch ancestry. According to the Canada 2006 Census, there were 1,035,965 Canadians of Dutch descent, including those of full or partial ancestry. "
/m/0g44f5,Not found,Not found,Not found
/m/03d26m9,Hondurans,People,"Hondurans are the citizens of Honduras. Most Hondurans live in Honduras, although there is also a significant Honduran diaspora, particularly in the United States, Spain, and many smaller communities in other countries around the world."
/m/0165md,Ryukyuan people,Ethnic group,"The Ryukyuan people are a Japonic-speaking East Asian ethnic group native to the Ryukyu Islands, which stretch between the islands of Kyushu and Taiwan. Administratively, they live in either Okinawa Prefecture or Kagoshima Prefecture within Japan. "
/m/0dqrh8,Polish Australians,People,"Polish Australians refers to Australian citizens or residents of full or partial Polish ancestry.
In 2021, 45,884 Australian residents declared that they were born in Poland. "
/m/0cc5y74,Not found,Not found,Not found
/m/0289z8v,Dalmatian Italians,People,"Dalmatian Italians are the historical Italian national minority living in the region of Dalmatia, now part of Croatia and Montenegro.
"
/m/01267,Albanians,Ethnic group,"The Albanians are an ethnic group native to the Balkan Peninsula who share a common Albanian ancestry, culture, history and language. "
/m/0fpjs3j,Uruguayans,People,"Uruguayans are people identified with the country of Uruguay, through citizenship or descent. Uruguay is home to people of different ethnic origins. "
/m/03cdk7b,British Pakistanis,People,"British Pakistanis are Britons or residents of the United Kingdom whose ancestral roots lie in Pakistan. This includes people born in the UK who are of Pakistani descent, Pakistani-born people who have migrated to the UK and those of Pakistani origin from overseas who migrated to the UK.
"
/m/0bfrrj,Mohyal Brahmin,N/A,"Mohyal Brahmins are an Indian sub-caste of Saraswat Brahmins from the Punjab region. A sub-group of the Punjabi Hindu community, Mohyal caste comprises seven clans named Bali, Bhimwal, Chhibber, Datt, Lau, Mohan and Vaid.
"
